image_id,species,family,view,grain_id,filename,valid,eixo_polar_um,eixo_equatorial_um,comprimento_ectoabertura_um,largura_ectoabertura_um,comprimento_endoabertura_um,largura_endoabertura_um,espessura_exina_um,comprimento_espinho_um,largura_espinho_um,circularidade,area_um2,perimeter_um,feret_um,solidity
1,Cololobus rupestris,Asteraceae,equatorial,1,Cololobus rupestris_moraes_benevenuto_equatorial_01.czi,1,"31,069","32,487","17,191","6,518",NI,NI,NI,"5,647","2,576","0,199","1229,251","278,594","44,413","0,867"
2,Cololobus rupestris,Asteraceae,equatorial,2,Cololobus rupestris_moraes_benevenuto_equatorial_02.czi,1,"31,703","33,701","17,943","8,396",NI,NI,NI,"6,673","2,993","0,137","1329,887","415,877","48,045","0,851"
3,Cololobus rupestris,Asteraceae,equatorial,3,Cololobus rupestris_moraes_benevenuto_equatorial_03.czi,1,"33,684","35,77","17,172","6,646",NI,NI,NI,"5,599","1,87","0,302","1147,334","218,336","44,337","0,887"
4,Cololobus rupestris,Asteraceae,equatorial,4,Cololobus rupestris_moraes_benevenuto_equatorial_04.czi,1,"32,957","32,517","16,419","8,057",NI,NI,NI,"5,641","1,873","1,176","1233,873","297,086","45,885","0,851"
5,Cololobus rupestris,Asteraceae,equatorial,5,Cololobus rupestris_moraes_benevenuto_equatorial_05.czi,1,"32,913","34,829","18,858","4,403",NI,NI,NI,"6,678","2,122","0,152","1233,861","318,904","45,949","0,852"
6,Cololobus rupestris,Asteraceae,equatorial,6,Cololobus rupestris_moraes_benevenuto_equatorial_06.czi,1,"33,816","37,18","17,324","8,493","3,064","3,989",NI,"4,259","1,863","0,119","1149,246","347,904","45,696","0,826"
7,Cololobus rupestris,Asteraceae,equatorial,7,Cololobus rupestris_moraes_benevenuto_equatorial_07.czi,1,"31,404","30,168","17,67","13,12","3,763","5,536",NI,"6,028","1,593",NI,NI,NI,NI,NI
8,Cololobus rupestris,Asteraceae,equatorial,8,Cololobus rupestris_moraes_benevenuto_equatorial_08.czi,1,"32,282","34,002","18,72","4,379",NI,NI,NI,"4,343","1,591","0,122","1107,452","337,449","45,557","0,814"
9,Cololobus rupestris,Asteraceae,equatorial,9,Cololobus rupestris_moraes_benevenuto_equatorial_09.czi,1,"32,531","34,787","14,19","10,948",NI,NI,NI,"3,987","1,432","0,179","1010,967","266,265","41,833","0,836"
10,Cololobus rupestris,Asteraceae,equatorial,10,Cololobus rupestris_moraes_benevenuto_equatorial_10.czi,1,"31,657","31,773",NI,NI,NI,NI,NI,"4,606","1,372","0,148","986,694","289,139","40,752","0,846"
11,Cololobus rupestris,Asteraceae,equatorial,11,Cololobus rupestris_moraes_benevenuto_equatorial_11.czi,1,"30,551","35,519","18,263","4,699",NI,NI,NI,"4,615","1,249","0,134","1011,766","307,992","44,139","0,789"
12,Cololobus rupestris,Asteraceae,equatorial,12,Cololobus rupestris_moraes_benevenuto_equatorial_12.czi,1,"30,471","33,051","18,772","9,586","4,579","5,47",NI,"5,931","1,246","1,246","1085,588","298,095","43,72","0,826"
13,Cololobus rupestris,Asteraceae,equatorial,13,Cololobus rupestris_moraes_benevenuto_equatorial_13.czi,1,"32,675","38,185","18,513","9,676","5,498","3,966",NI,"5,382","1,788","0,09","1269,556","420,914","47,26","0,805"
14,Cololobus rupestris,Asteraceae,equatorial,14,Cololobus rupestris_moraes_benevenuto_equatorial_14.czi,1,"30,32","33,059","20,225","5,114","7,703","3,826",NI,"5,977","1,624","0,168","888,503","258,089","39,487","0,864"
